"Experiment 1+2"    "Experiment 1" "Experiment 2" "Experiment 2" "Experiment 2" "Experiment 2" "Experiment 2" 
# Seed Size  "Diffs Trainbenchmark-CrossEcore" "Diffs CrossEcore-EMF" "Diffs Trainbenchmark-EMF" "Diffs EMF-CrossEcore2" "Diffs CrossEcore-CrossEcore2" "Diffs Trainbenchmark-CrossEcore2" 
"Seed 1" 19871053l 1  0 0 0 0 0 0 
  2  0 0 0 0 0 0 
  4  0 0 0 0 0 0 
  8  0 0 0 0 0 0 
  16  0 0 0 0 0 0 
  32  0 0 0 0 0 0 
  64  0 0 0 0 0 0 
  128  0 0 0 0 0 0 
"Seed 2" 133829747l 1  0 0 0 0 0 0 
  2  0 0 0 0 0 0 
  4  0 0 0 0 0 0 
  8  0 0 0 0 0 0 
  16  0 0 0 0 0 0 
  32  0 0 0 0 0 0 
  64  0 0 0 0 0 0 
  128  0 0 0 0 0 0 
"Seed 3" 3067645436262l 1  0 0 0 0 0 0 
  2  0 0 0 0 0 0 
  4  0 0 0 0 0 0 
  8  0 0 0 0 0 0 
  16  0 0 0 0 0 0 
  32  0 0 0 0 0 0 
  64  0 0 0 0 0 0 
  128  0 0 0 0 0 0 
"Seed 4" 537388259l 1  0 0 0 0 0 0 
  2  0 0 0 0 0 0 
  4  0 0 0 0 0 0 
  8  0 0 0 0 0 0 
  16  0 0 0 0 0 0 
  32  0 0 0 0 0 0 
  64  0 0 0 0 0 0 
  128  0 0 0 0 0 0 
"Seed 5" 58617367495977272l 1  0 0 0 0 0 0 
  2  0 0 0 0 0 0 
  4  0 0 0 0 0 0 
  8  0 0 0 0 0 0 
  16  0 0 0 0 0 0 
  32  0 0 0 0 0 0 
  64  0 0 0 0 0 0 
  128  0 0 0 0 0 0 
          
          
          
          
"Experiment 3"   EMF CrossEcore EMF CrossEcore    
# Seed Size "Save Time (in ms)" "Save Time (in ms)" "Load Time (in ms)" "Load Time (in ms)" Objects References Ref/Obj Obj+Ref
"Seed 1" 19871053l 1 253,607 141,59 618,289 324,56 1311 3560 2,71548436308162 4871
  2 34,513 246,79 428,402 406,24 2843 7717 2,71438621174815 10560
  4 35,62 490,63 1598,552 689,65 6085 16514 2,7138866064092 22599
  8 44,718 926,92 5745,903 1375,805 11869 32212 2,71396073805712 44081
  16 66,384 1784,87 19080,42 2413,445 21780 59087 2,71290174471993 80867
  32 158,681 4119,06 111607,489 5656,835 50752 137677 2,71274038461538 188429
  64 443,92 7973,77 446788,953 11439,395 97817 265421 2,71344449328849 363238
  128 1051,949 16835,59 1974756,448 22745,545 198585 538834 2,71336707203465 737419
"Seed 2" 133829747l 1 272,288 142,595 626,205 319,05 1293 3507 2,7122969837587 4800
  2 37,992 247,755 431,69 337,725 2755 7479 2,71470054446461 10234
  4 40,336 533,155 1778,503 725,8 6133 16647 2,71433230066851 22780
  8 53,158 1014,555 5098,188 1634,81 11020 29911 2,71424682395644 40931
  16 89,249 1749,73 20112,075 2437,36 21983 59647 2,71332393212937 81630
  32 155,257 3790,405 94819,639 5165,325 46490 126201 2,71458378145838 172691
  64 455,074 8040,915 473250,868 10925,8 99001 268723 2,71434631973414 367724
  128 1366,947 19090,585 1981100,162 27326,7 195419 530413 2,71423454218884 725832
"Seed 3" 3067645436262l 1 260,086 163,745 652,227 382,975 1637 4446 2,71594379963348 6083
  2 38,612 327,1 615,982 447,53 3497 9491 2,71404060623391 12988
  4 34,869 482,83 1677,748 740,755 6173 16752 2,7137534424105 22925
  8 33,181 790,295 4245,584 1048,775 10165 27578 2,71303492375799 37743
  16 77,94 1803,73 21781,756 2734,65 22774 61779 2,7126986914903 84553
  32 184,854 3706,42 98774,239 5546,31 47313 128334 2,71244689620189 175647
  64 434,37 7578,185 445463,647 11118,155 94869 257373 2,7129304620055 352242
  128 606,4 16145,19 1766570,724 22263,58 194415 527513 2,71333487642414 721928
"Seed 4" 537388259l 1 268,831 154,14 715,816 366,735 1475 3999 2,71118644067797 5474
  2 41,485 299,785 675,571 438,12 3557 9646 2,71183581669947 13203
  4 57,566 605,995 2429,929 869,65 7317 19856 2,71368047013803 27173
  8 52,252 1116,125 8141,774 1597,385 13907 37735 2,71338175019774 51642
  16 97,887 2162,765 29424,024 3074,5 26318 71438 2,71441598905692 97756
  32 187,205 4588,465 123593,492 7150,445 52440 142298 2,71353928299008 194738
  64 493,671 8260,505 484823,422 14349,43 99882 271102 2,7142227828838 370984
  128 1135,693 17816,96 1820025,243 28465,285 198870 539739 2,71402926534922 738609
"Seed 5" 58617367495977272l 1 265,26 166,265 710,468 381,595 1735 4709 2,71412103746398 6444
  2 31,416 308,85 638,494 442,135 3571 9690 2,71352562307477 13261
  4 26,941 530,105 1952,834 801,76 6753 18332 2,7146453428106 25085
  8 47,267 1005,285 6471,677 1433,315 12610 34226 2,71419508326725 46836
  16 80,146 1809,5 20896,158 2598,53 22856 62036 2,71421071053553 84892
  32 157,146 3897,56 100855,098 5546 48567 131838 2,7145592686392 180405
  64 507,413 8171,155 439773,09 11957,22 99021 268709 2,71365669908403 367730
  128 604,17 17106,955 1882486,753 23487,13 203393 551972 2,713820042971 755365
          
          
          
          
          
          
 Serialisieren Serialisieren Serialisieren  Deserialisieren Deserialisieren Deserialisieren   
Größe "EMF Zeit (in ms)" "CrossEcore+ Zeit (in ms)" Speedup Größe "EMF Zeit (in ms)" "CrossEcore+ Zeit (in ms)" Speedup   
1 253,607 141,59 0,558304778653586 1 618,289 319,05 1,93790628428146   
1 260,086 142,595 0,548260959836362 1 626,205 324,56 1,92939672171555   
1 265,26 154,14 0,581090251074417 1 652,227 366,735 1,77846946705387   
1 268,831 163,745 0,609100140980765 1 710,468 381,595 1,86183781234031   
1 272,288 166,265 0,610621841579504 1 715,816 382,975 1,86909328285136   
2 31,416 246,79 7,85555131143366 2 428,402 337,725 1,26849359686135   
2 34,513 247,755 7,17859936835395 2 431,69 406,24 1,06264769594328   
2 37,992 299,785 7,89074015582228 2 615,982 438,12 1,40596640189902   
2 38,612 308,85 7,99880866052005 2 638,494 442,135 1,4441154850894   
2 41,485 327,1 7,88477763046885 2 675,571 447,53 1,50955466672625   
4 26,941 482,83 17,9217549459931 4 1598,552 689,65 2,31791778438338   
4 34,869 490,63 14,0706644870802 4 1677,748 725,8 2,31158445852852   
4 35,62 530,105 14,8822290847838 4 1778,503 740,755 2,40093283204298   
4 40,336 533,155 13,2178451011503 4 1952,834 801,76 2,43568399521054   
4 57,566 605,995 10,526960358545 4 2429,929 869,65 2,79414592077272   
8 33,181 790,295 23,8176968747175 8 4245,584 1048,775 4,04813615885199   
8 44,718 926,92 20,7281184310568 8 5098,188 1375,805 3,70560362842118   
8 47,267 1005,285 21,2682209575391 8 5745,903 1433,315 4,00882081049874   
8 52,252 1014,555 19,4165773558907 8 6471,677 1597,385 4,05141966401337   
8 53,158 1116,125 20,9963693141202 8 8141,774 1634,81 4,98025703292737   
16 66,384 1749,73 26,3577066763075 16 19080,42 2413,445 7,90588557021187   
16 77,94 1784,87 22,9005645368232 16 20112,075 2437,36 8,25158162930384   
16 80,146 1803,73 22,5055523669304 16 20896,158 2598,53 8,04153040372826   
16 89,249 1809,5 20,2747369718428 16 21781,756 2734,65 7,96509827583055   
16 97,887 2162,765 22,0945069314618 16 29424,024 3074,5 9,57034444625142   
32 155,257 3706,42 23,8728044468204 32 94819,639 5165,325 18,3569550802708   
32 157,146 3790,405 24,1202766853754 32 98774,239 5546 17,8099962134872   
32 158,681 3897,56 24,562234924156 32 100855,098 5546,31 18,1841797519432   
32 184,854 4119,06 22,2827745139407 32 111607,489 5656,835 19,7296702131139   
32 187,205 4588,465 24,5103763254187 32 123593,492 7150,445 17,2847273141742   
64 434,37 7578,185 17,4463821166287 64 439773,09 10925,8 40,2508823152538   
64 443,92 7973,77 17,9621778698865 64 445463,647 11118,155 40,0663281812495   
64 455,074 8040,915 17,6694669438377 64 446788,953 11439,395 39,057043925837   
64 493,671 8171,155 16,5518229752203 64 473250,868 11957,22 39,5786702929276   
64 507,413 8260,505 16,2796479396468 64 484823,422 14349,43 33,7869463804486   
128 604,17 16145,19 26,722925666617 128 1766570,724 22263,58 79,3480080023069   
128 606,4 16835,59 27,763176121372 128 1820025,243 22745,545 80,0167788021786   
128 1051,949 17106,955 16,2621524427515 128 1882486,753 23487,13 80,1497140348778   
128 1135,693 17816,96 15,6881833382789 128 1974756,448 27326,7 72,2647245368083   
128 1366,947 19090,585 13,9658560280684 128 1981100,162 28465,285 69,5970604896455   
